Date,state_name,ZHVI_3bedroom,ZHVIPerSqft_AllHomes,ZHVI_TopTier,ZHVI_AllHomes,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_4bedroom,ZHVI_BottomTier,ZHVI_5BedroomOrMore,ZHVI_2bedroom,ZHVI_CondoCoop,ZHVI_1bedroom
2000-01-31,Alabama,91600,56,160200,90900,90900,90300,169500,49400,234500,56000,108100,65400
2000-01-31,Alaska,171600,116,239100,171900,171900,179500,216500,128200,274400,122400,123000,91900
2000-01-31,Arizona,118100,74,205200,122900,122900,127400,155500,80200,230900,103000,92000,70300
2000-01-31,Arkansas,85400,46,127400,71100,71100,71100,148200,41500,226200,60700,82700,60900
2000-01-31,California,187800,130,384200,201300,201300,206000,255300,113700,349700,155800,179000,120900
2000-01-31,Colorado,165100,108,279100,165200,165200,171700,227300,110700,269800,131800,131100,101800
2000-01-31,Connecticut,154900,102,296300,157000,157000,167200,242700,96300,388000,112700,96800,72600
2000-01-31,Delaware,116400,80,192100,120600,120600,121000,181400,79800,211800,93400,NA,84400
2000-01-31,DistrictofColumbia,130500,120,312100,136200,136200,156100,200500,84400,499800,137700,129900,113800
2000-01-31,Florida,105100,66,185400,101400,101400,109400,156300,59800,242000,74700,80300,49800
2000-01-31,Georgia,109400,68,206300,115800,115800,115300,181700,70000,261100,82000,122600,111200
2000-01-31,Hawaii,213800,165,356100,210200,210200,249700,280300,111000,325400,165400,151700,129400
2000-01-31,Idaho,109600,72,176500,112400,112400,112600,136300,79900,163500,83700,101900,74000
2000-01-31,Illinois,126900,99,229900,129500,129500,129600,203400,71100,264500,104600,128000,99900
2000-01-31,Indiana,91800,61,147500,87900,87900,87400,NA,55800,147100,62800,101300,51000
2000-01-31,Iowa,86600,67,127600,73900,73900,72900,104300,56400,NA,69700,97500,61900
2000-01-31,Kentucky,97600,67,163100,91900,91900,91500,158900,57600,184000,77300,97600,63400
2000-01-31,Louisiana,106200,NA,140300,NA,NA,NA,NA,55600,NA,NA,NA,NA
2000-01-31,Maine,124100,86,201600,115800,115800,116300,151800,71300,187400,106900,111400,NA
2000-01-31,Maryland,127100,91,236600,136300,136300,143100,189700,79300,264200,95300,113900,79000
2000-01-31,Massachusetts,182400,121,322900,185800,185800,193100,268100,116900,355600,145400,149900,118400
2000-01-31,Michigan,129500,91,194800,112400,112400,109400,216000,64600,208100,97600,146500,80800
2000-01-31,Minnesota,131600,101,200700,126600,126600,127700,164600,81700,210100,110700,116000,78500
2000-01-31,Mississippi,80900,46,130700,73400,73400,73400,142400,42900,145400,NA,NA,NA
